Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,6203256538.70967,6971758282.29351,9747886187.39393,10109297047.5432,12416152732.0567,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,26261445894.5918,28521625037.4871,33344679966.8373,35321124705.4034,43140953896.0125,49936634725.4957,51184181904.4289,60766467131.1993,67458857272.9888,72946664022.0665,77274315044.0326,76798750471.4042,83362066704.4832,89369237677.5116,97800733345.013,100094011602.726,85767546197.7544,86148711748.6848,91271896894.46,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,8256658249.8128,9150528132.17633,11116937869.8568,13258506375.4518,12335540656.1006,12086545641.299,12973755874.5365,12246499747.9714,12796985886.1478,13296322588.1684,11470171826.9575,11988668784.6628,13258268435.6048,15379508329.7568,15585111614.0376,15241455556.3737,18032009220.4405,19017244116.7203,23547180412.3404,27177735527.5667
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2741.72136549578,3057.77257038113,3743.05529896187,4498.50486763601,4213.65007574693,4149.14469936847,4465.70914328865,4222.3470988913,4420.23461988353,4602.23051443229,3981.72662261867,4168.37544462548,4614.0479692596,5365.48880180298,5460.4305086932,5370.77749956875,6413.28280828537,6846.42669381643,8575.17134637222,10011.6279856667
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,18112067040.7321,20212730164.5506,22527491884.8191,24961568935.6313,26423570170.6128,28419225351.3526,29846424480.4471,30348654006.3871,30653691163.574,32696809829.5528,33840534295.4171,35112520544.852,37368669301.9669,39259416336.6027,42219281243.0817,41182550727.6019,45343111967.1762,54011348459.4688,58378809433.5428,63760906790.7788
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,107046618669.707,123084258693.01,142482739809.849,180383848331.135,150317292079.359,177785053939.531,218331946925.304,227143746075.934,229701430292.157,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225638456572.143,247626161016.414,263619794506.723
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3233.13339634212,3660.66104745322,4167.45169937531,5180.91881514686,4235.42990456612,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731,5631.17999109851
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,405464777070.416,430089739623.741,455435983850.628,475816185949.483,484495939553.449,513922383993.713,540260920347.765,543660681589.814,552043162307.88,576084364271.011,552563707134.997,548945698735.394,562537088659.901,583471998103.511,601470923945.205,558300141593.952,648895630480.26,720184226953.646,776689344138.3,821720979879.888
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,8831.26975996609,8745.16621137404,9231.37240924563,10030.8089130902,12156.0293905777,10375.1720141957,10383.459331451,11745.4899153958,11813.5022034589,12026.3344929488,12727.4102651386,12843.3342903627,11863.6839452565,12552.0546868861,12886.1359517218,14489.2586563775,15236.1604875571,18017.4589383973,..,..
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3161084091.11674,3459337986.88383,3957625367.21959,4102319399.02343,3688976340.7549,3449925738.86069,3629133574.27783,3188652765.36184,3193512950.02419,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625,4039844390.22543
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40829.801876968,43467.2109930745,48336.2283329823,49132.515707808,43975.0183668093,42746.8309526019,46657.1561173756,41500.5435791686,42470.3161159692,44369.659691379,38654.9347203095,40129.8192007698,40672.9943348258,42819.7745797624,41257.8045846483,37361.0900666982,42425.6996756291,42414.0590092117,46812.4484486309,49303.6733899464
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3451259350.68147,3728768817.98712,3889274660.19026,3743831887.45967,3567168967.98064,3539214037.97724,3611940399.90852,3496180919.82724,3429540494.942,3576657555.21929,3661620791.67048,3833543204.91048,3915698820.58319,4152298789.83756,4395348448.44156,4031176207.5678,4649508748.84024,5457407403.46601,5799854946.96513,6140390670.0909
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,36970900883.8109,52381025141.4268,65266415494.2584,88538665084.8634,70307196181.6539,83799474069.7315,111789747670.59,128052915766.343,132339109040.232,135966802586.713,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84875162197.0107,80396942241.6233
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,1916.46842218625,2617.05196022633,3141.0459797605,4103.0669003635,3136.64546955947,3597.34293216332,4615.91059831778,5086.02740086376,5057.74787833163,5005.9997412707,3213.90261080059,1807.95294072643,2437.25971190821,2538.59139143371,2189.85571407618,1449.92286669308,1925.87466082167,2929.69445467272,2309.53413042773,2122.08368991872
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,94069250793.3624,108170250183.937,126666092623.102,143527785551.207,145654989373.802,153909425850.932,162538811659.181,185178296910.381,197839278641.871,217021998765.783,200475818990.044,199721223732.138,211424030475.15,229965233516.952,243736138717.595,215784887951.053,255820605533.992,282403642417.848,295719779328.449,316269278905.416
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1143896296.2963,1303674074.07407,1487381481.48148,1557640740.74074,1386518518.51852,1298348148.14815,1287359259.25926,1364729629.62963,1325496296.2963,1378707407.40741,1437485185.18519,1489603703.7037,1534855555.55556,1661529629.62963,1726448148.14815,1411637037.03704,1602125925.92593,1866566666.66667,2005785185.18518,2224814814.81481
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,14368.5708796058,16173.8136329968,18204.5124043068,18786.6743142216,16472.2478528568,15217.3950790922,14911.7275084471,15639.8078114787,15051.5113587425,15532.1062063584,16077.6340769406,16556.8551801588,16965.7288273816,18273.4270684912,18896.3721832248,15369.6082250401,17348.6006987182,20105.1989085164,21494.5474000727,23725.7903725506
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1869648421.17262,2172230129.35438,2438910773.02227,2485553313.20349,2201706020.73879,2053740262.1647,2055053749.15776,2008004315.57078,1916318722.69576,1923668370.58425,1876287100.28153,1918178442.04757,1938005691.19943,2229888663.55951,2425768090.57419,2054603457.83519,2377570792.25983,2779062289.10061,2948949156.32379,3150959938.89349
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,646075277525.125,633266692533.689
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,5067.65342293276,5869.38028970204,7185.25155147027,8944.1102657357,8150.23527028221,10260.1313108254,12704.2831819684,12949.717486654,12963.675773326,12233.1444119186,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965,13858.2039802008
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,528046724347.489,588133949216.688,658480356265.582,698398185512.872,661115953562.315,736904550750.838,797263881242.037,819219854484.205,848625298160.51,838428063163.02,865155580188.784,882649216798.351,1035699067575.93,1090043170151.08,1057633159930.82,1011999397129.76,1191725417699.43,1343969240640.99,1369900046451.38,1378906089397.47
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359,25786585949.6346
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1557.48458908655,2041.65267068997,2962.70234594569,3777.66859313767,2820.5926553347,3041.34450723339,3349.55309771906,3511.56399687426,3680.16692158886,3852.11800610384,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8125.27395754003,8500.60522486719
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,16273869613.1272,18990125434.4095,22176749551.127,24163709284.131,20884649142.4407,21603503567.4249,23085520248.3701,27043423649.5481,28572642912.7207,29343064966.5336,29315404012.9832,31629425029.462,35949453239.3726,38233278956.681,44365671088.179,43552758696.8095,47164867556.762,56893939956.673,63833326718.2115,69234115090.8141
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2360017318.43575,2469782681.56425,2677641340.78212,2843024581.00559,2553793296.08939,2453597206.70391,2637859217.87709,2615208379.88827,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,24171.8371325422,24845.65848362,26736.3089444046,28171.9094008501,25134.7712303589,24093.1401510626,25712.3843015186,25119.6655449838,25813.5767274227,26129.8390617693,27458.2253310273,27441.5296617282,28440.051963759,30082.1276448186,31096.2050738676,22855.9323200761,27200.0610793969,30559.5335346581,33984.7906198041,..
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3426871110.42673,3572376596.74459,3782521886.32566,3926175809.15729,3489075178.00144,3434946033.94178,3623931877.15193,3549697827.01878,3793907213.86807,3808447873.65563,3881688126.57656,3926948315.28476,4080273098.09897,4278670721.5542,4270959490.77484,3146467247.47262,3844492519.39592,4469402564.46605,4827649139.53984,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,695692898676.56,748417562769.636,855007458585.224,1056112427190.38,928762122698.05,1148838233480.72,1398610616772.97,1547532281116.4,1577123329410.88,1468265356427.76,1351296372254.31,1206836962281.84,1325582658156.54,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,1728057316695.61,1752193307380.34
